"user","waktu","komentar","Sentimen"
"DINASTY","2 tahun lalu","Tempat parkir luas. Air terjun alami","Netral"
"Cak Arul","setahun lalu","Parkir 5k
Tiket 5k","Netral"
"Amrulloh 33","4 tahun lalu","Tempatnya bagus sekali,Sangat menarik untuk dikunjungi wisatawan","Positif"
"Tri Edy Sigit Pramono","setahun lalu","Tiket masuk murah sekali hanya 5 ribu saja, pantai bagus, air terjun juga manambah panoroma yg langka..biasanya jarang ada air terjung dekat pantai cuma kisaran 50m..dari pantai, dan pantai banyak batu karang; bagus untuk selfi..","Positif"
"Super Yitno","setahun lalu","Tempatnya cukup bagus dan ada cafee dan toilet..","Positif"
"Wisnu Kinx","4 tahun lalu","Air Terjun yg indah...lgs ke laut...lengkap dgn fasilitas Rumah Makan Lesehan...","Positif"
"tiyo prasetyawan","4 bulan lalu","Bagus bener air terjunnya","Positif"
"Edo Setyo","4 tahun lalu","air terjun yang langsung turun ke laut luas","Netral"
"Kurniadi Wijaya","2 tahun lalu","Tempat Yang Indah....😍😍😍
Tapi Kebersihan Sedikit Perlu/Kurang Terjaga...🙏🙏🙏 …","Positif"
"Devi Noviyanti","4 bulan lalu","Pemandangannya bagus dan udaranya seger","Positif"
"Awik Baidawi","3 tahun lalu","Air terjun yang langsung jatuh ke pantai.","Netral"
"Zhafir Al-farezel","2 tahun lalu","Pengambilan Foto
Dari Wisata Air Terjun Toroan🇮🇩 …","Netral"
"Hadistria M","4 tahun lalu","Sangat bagus dan  cuma bayar parkir 5k","Positif"
"dody dydod","4 tahun lalu","Wisatanya Bagus... Tapi kalau kulinernya pelayanan agak kurang memuaskan, pelanggan terlalu lama di buat menunggu....","Positif"
"anton suharto","3 tahun lalu","Lokasi yg terjangkau dr area parkir n nyaman utk keluarga","Netral"
"Dwi Nugroho","4 tahun lalu","Potensial untuk dikembangkan, eksotik kpd pengelola tingkatkan kebersihan","Netral"
"Phantom R","4 tahun lalu","Air terjun yang cukup unik karena air langsung jatuh ke pantai, sayangnya akses disini bisa dibilang masih kurang. Papan lokasi juga kurang memadai, jadi beberapa kali harus tanya-tanya ke warga sekitar. Jalur masuk cukup ""nyelempit"" …","Netral"
"Rika Rahmania","4 tahun lalu","Karna tempat nya bagus indah dan memuaakan","Positif"
"Fatin Susanna","5 tahun lalu","Masih perlu pembenahan disana sini utk memudahkan pengunjung menuju sekitar lokasi tp setiap kesini selalu ada kemajuan","Netral"
"Rezayutami","4 tahun lalu","Baguuus,,sayang gak bs buat main2","Netral"
"edy trirahmady","4 tahun lalu","ajibbbb...pantai dgn air terjun","Netral"
"Supriyadi Supriyadi","5 tahun lalu","Bagus airnya hanya menataan kurang maksimal.knp Pemda g turun tangan kan itu aset daerah","Positif"
"indi ra","5 tahun lalu","Air terjun langsung mengarah ke laut","Netral"
"Andika Bayangkara","setahun lalu","Satu satunya air terjun di madura yang airnya terjun dari sungai langsung ke laut...bagus banget...kulinernya  mantap...yg recomended ikan bakar kembung maknyus","Positif"
"rayda zean","4 tahun lalu","Good place untuk liburan family yah. Recommended buat wisata yang satu ini","Netral"
"Edi Lung","2 tahun lalu","Pastikan klo mo kesini pas air lgi pasang, lebih keren.","Positif"
"Shoby Zayzavona","3 tahun lalu","Tanpa tiket masuk hanya bayar parkir, afa kulinernya juga","Netral"
"Rara","3 bulan lalu","Pemandangan bagus
Tempat nyaman","Positif"
"Olievia P Mulyana","5 tahun lalu","Wisata alam yang dikelola secara alami oleh warga sekitar. Lokasinya dipinggir jalan dengan pentunjuk yang mudah terlihat. Air terjun ini langsung menuju laut jadi untuk foto kita harus menuruni tangga menuju pinggir laut jadi apabila …","Netral"
"Raditya Hendra Pratama","4 tahun lalu","Air terjun dan tempat wisata yang sangat indah yang ada di pulau Madura bagian utara.
Meskipun tempatnya tidak besar tapi cukup untuk menarik wisatawan untuk berfoto …","Positif"
"ISMA WATI","setahun lalu","Tempat bagus buat spot foto2 pinggir laut, ada air terjun. Bersih dan dilengkapi dengan tempat makan. Karcis juga murah cuma 5k.","Positif"
"Sunadi Ady","9 bulan lalu","Tempatnya bagus sejuk adem cuman perjalanannya aja yang agak melelahkan","Positif"
"Mung Amarindro (Munks mung)","setahun lalu","Gosok sedikit lagi","Netral"
"Abdur Rouf","5 tahun lalu","Satu-satunya air terjun yang langsung menjorok ke laut di pulau Madura. Merupakan salah satu air terjun terindah di Madura, yang mana airnya selalu mengalir deras walaupun di saat musim kemarau. Tidak ada petugas keamanan di sini, jadi ada …","Positif"
"Ines Kum","4 tahun lalu","Air terjunnya bagus, langsung turun ke laut, pemandangannya jadi double yaitu air terjun dan laut, kita juga bisa naik sehingga bisa berada di atas air terjunnya. tempat parkirnya jg luas jd gak perlu khawatir jika kesana menggunakan mobil","Positif"
"Miendary Rose","3 tahun lalu","Bagus sih... cuman kurang terawat. Mungkin karena air terjun langsung ke laut itu kali ya.. jadi sensasi bermain air di bawah percikan air terjun nya gak ada sama sekali. Jadi cukup bintang 4 aja ya.","Positif"
"Rahmat Syarief","3 tahun lalu","Wajib lihat tuk dukung destinasi wisata alam kota sampang, ayoo main kesana","Netral"
"Sanny Octavia Kusnadi","3 tahun lalu","Dari parkiran kendaraan berjalan menuju ke air terjun Toroan tidak jauh, dan aman untuk orang tua dan anak anak. Hanya saja, pantai nya agak kotor, banyak sampah berserakan. Mungkin pengelola perlu memperhatikan kebersihan pantai","Negatif"
"Nurul Azizah","2 tahun lalu","tempatnya bagus...cocok untuk wisata keluarga","Positif"
"a nurul hadi","setahun lalu","Salah satu keunikannya adalah air terjun yang langsung mengalir ke laut sehingga keindahannya sangat memanjakan mata. salah satu tempat wisata unit andalan kabupaten sampang madura, jarang ditemui di tempat lain","Positif"
"Achmad Sudahri","2 tahun lalu","Sangat indah, dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah, karena air terjunnya beda bukan di pegunungan tapi di tepi pantai.","Positif"
"Jajak Sekitar","setahun lalu","Berdasarkan hasil wawancara kepada warga sekitar, Air Terjun Toroan menyimpan kisah tentang suami istri yang sama sakti antara Sayyid Abdullah dan Siti Marwah yang kini menjadi Buju' Panyeppen (sang istri) dan Makam Tinggi (sang suami). …","Netral"
"M Kholis","4 tahun lalu","Sungguh indah cinptaan MU Ya Allah","Positif"
"Ola Christine Official","setahun lalu","Tempat wisata dg panorama dan pemandanganyg sangat indah ... air terjun yg bermuara tepat dibibir pantai utara pulau madura sangat cocok utk tujuan wisata keluarga 👍👍👍 …","Positif"
"Reymond","4 bulan lalu","Tempat wisata yang indah dan bagus","Positif"
"Robi Andres","3 bulan lalu","Ceritanya singkat tapi kenangannya begitu mengikat","Netral"
"IMAMUDDIN AP","4 tahun lalu","Sunset nya yang menawan sangat dinantikan, lokasinya yang dekat dengan jalan raya memudahkan kita untuk menjangkaunya. Kurang lebih 50km dari jembatan Suramadu, jadi persiapan perbekalan dan fisik karena perjalanan yang cukup lama. Waktu …","Netral"
"Alfan Nur Azizi","4 tahun lalu","Pemandangan pantai yang berpadu dengan air terjun...","Netral"
"Rendra Dwi","4 tahun lalu","Pemandangannya bagus, cocok buat spot foto","Positif"
"Husnul Ika Safitri","4 tahun lalu","Karen, Air Terjun langsung nyatu dengan  Laut.","Netral"
"maz echo","4 tahun lalu","Wisata Ait Terjun Toroan Yang Keren di Madura","Positif"
"Fitri Tompinit","4 bulan lalu","bagus banget banget ,pengen kesini lagi","Positif"
"SILA BUTIK BATIK","4 tahun lalu","Pilihan piknik murah meriah","Positif"
"Rizal Sarluf","2 tahun lalu","Bagus viewnya, hanya saja tulisan Toroan nya yg dibuat terlalu dekat dengan air terjun, untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu, toilet tersedia","Positif"
"Asyam Mulayyan Dary","4 tahun lalu","Harga masuk akal, ikan kerapunya enak","Netral"
"Nugraha Fahlevi","setahun lalu","PENGELOLA TEMPAT WISATA NYA RAMAH. TEMPATNYA SEJUK.","Netral"
"Joko Regama","5 bulan lalu","Tempat nyaman buat wisata keluarga","Netral"
"Zhela Aspriela (Zh/A)","5 tahun lalu","Rame disini, kalo cari kulineran disini banyak. Tapi seru kalo ke air terjunnya, kalo lagi pasang kayaknya sangat engga disarankan untuk mandi di air terjunnya. Cukup bayar parkir kendaraan disini. Lahan parkirnya juga luas bias motor dan mobil, bus pariwisata juga bisa.","Netral"
"Papa Rasya","5 tahun lalu","Bayar masuknya 10000 cuman kalo datang kesini d saran kan jangan musim hujan karena debit air terjunnya jadi besar dan keruh percuma jadi gak bisa lihat view yang bagus. Sama kadang pantainya kotor banyak sampah.. tp kalo bukan musim hujan bagus sekali","Positif"
"Imam safi 1602","4 tahun lalu","Berada di jalur utara pulau madura. Air terjun ini terbentuk dari saluran irigasi sawah warga, jadi tidak di sarankan untuk bermain air di bawah air terjun.Waktu paling baik untuk ke air terjun ini adalah menjelang matahari terbenam karena …","Netral"
"deddy dosis","5 bulan lalu","Tempat yg cocok untuk liburan keluarga","Netral"
"Sigit Ardianto","5 tahun lalu","Air terjun di pinggir pantai.. Spot wajib para landscaper longexposure mania","Netral"
"Siti Maulidiyatul","4 tahun lalu","Satu satu air terjun yang ada di sampang madura bagian udara, air terjun ini langsung bermuara ke laut sebut saja laut jawa. Tinggi air terjun ini mungkin sekitar 5-7 meter diatas permukaan air laut. Airny terlihat biru kehijauan tetapi …","Netral"
"rusdi zulkarnain","3 tahun lalu","Air Terjun Toroan di pinggir laut utara Pulau Madura dekat kota kecil Ketapang Kabupaten Sampang. …","Netral"
"Rio Wija (wijapuccino)","5 tahun lalu","Air Terjun yang unik karena aliran airnya langsung menuju ke laut. Termasuk wisata 2 in 1 karena selain air terjun kita juga bisa menikmati pantainya. Nilai tambahnya air terjun ini terletak tidak jauh dari jalan raya.","Netral"
"nur faizal lisanto","5 tahun lalu","Air terjun langsung ke pantai.. menakjubkan.. kereen","Netral"
"athval athoillaharamadani","2 tahun lalu","Tukang parkirnya malak dengan dalih penitipan helm, helm hilang memang resiko sendiri. Tapi malah diringkes sama tukang parkirnya dan ditaruh pos penitipan. Jadi bayar 2500. Pemalakan dengan modus penitipan paksa. KECEWA","Netral"
"Frank Rush","setahun lalu","Satu2nya yg saya tau, air terjun dari sungai turun langsung ke laut","Netral"
"anang susilowanto","4 tahun lalu","Tempat yg cocok untuk bercengkrama dan kuliner bersama keluarga","Netral"
"Bambang Mtx","setahun lalu","Tempat yang bagus dan indah","Positif"
"Ilham Afandi","5 tahun lalu","Berada di arah timur Ketapang Daya hampir mendekati Ketapang bagian Timur. Letak geografis yang mumpuni membuat para travellers yang hendak pergi ke air terjun ini menjadi lebih mudah untuk dilalui. Sejalan dengan masyarakat disekitar …","Netral"
"Thetutorials 95","4 tahun lalu","Wisata air terjun yg jatohnya lngsung ke pantai.. Jdi kita bisa dpet 2 wisata sekaligus. Waterfall dan pantai.. Parkir mobil 10 rbu.. Tanpa karcis masuk.. Inget tanpa krcis masuk..","Netral"
"Adinda","4 tahun lalu","baguuss bangett asliiik ky poto kalender kalo pake background air terjun inii, air terjun di samping lautt, masuknya gratis ada tempat makan, ada bbrp spot foto","Netral"
"Lidia Indriyani","3 tahun lalu","Air Terjun Toroan berada dekat tepian jalan raya , sehingga akses untuk kesana mudah dan cepat kalau kita mau turun melihat secara langsung air terjunnya apalagi tepat berada ditepian pantai.Suasananya sangat nyaman dan terasa dingin karena …","Netral"
"Dede Astri","4 bulan lalu","Tempat nya bagus ,keren","Positif"
"Eri Ns","2 tahun lalu","Emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantai..tiket masuk 5 rb k lokasi air terjun...","Positif"
"Jessica Aalya","2 tahun lalu","Mungkin saya datang di waktu yang salah, karena waktu kesana tempatnya tidak sebagus ekspektasi saya. Juga disana tidak disarankan untuk bermain air, sehingga hanya sekedar objek foto saja","Positif"
"Rachmat Nursutji","2 tahun lalu","Air terjun toroan adalan wisata alam Madura yg sangat bagus, namun masih sangat memerlukan sentuhan tangan pofesional dan investor utk pengembangannya yg lebih bagus lagi.","Positif"
"singgih andi","setahun lalu","Bagus tempatnya... Kalau mau kesini jgn pas hujan atau setelah hujan, krn air nya agak kotor","Positif"
"Fathoni","5 tahun lalu","Sabtu kmarin kesini... Oke lah.. Namun langit tak menampilkan warna senja nya.

Btw Sarung ku ketinggalan di Mushola hhiks,  tapi tak apalah mungkin ditakdirkan …","Netral"
"Yulis Juwaidi","2 tahun lalu","Bagus buat selfi alami dgn latar airterjun yg keren. Jangan berenang krn dalam sekali","Positif"
"Gatot Arie","5 tahun lalu","Jangan Pernah Lelah Mencintai IndONEsia","Netral"
"Timotius Andy","4 tahun lalu","Pantainya keren.. dan air terjun mininya dan sungainya berwarna biru jernih..
Cuma sayang di bagian atas sungai banyak sampah rumah tangga.. popok2 bayi dan bungkus plastik banyak bgt..","Positif"
"Deddy Uno","11 bulan lalu","Terpantau masih seperti dulu 😅 …","Netral"
"Pejuangnkri","4 tahun lalu","Tempat nya indah dan cocok untuk santai selain air terjun juga berada di tepi pantai tempat ini sangat inda saat menjelang sore karna tempat ini berada di selatan pantai saat sore matahari persis berada di sebelah barat","Positif"
"Putut Sugiharto","2 tahun lalu","View nya indah menawan ...
Sayang kurang perawatan .....
Berharap kedepannya air terjun Toroan ini dirawat dengan baik,oleh pemkab maupun  swasta asli daerah.","Positif"
"Hary Wibowo","4 bulan lalu","Mantabbb tempatnya keren....","Positif"
"Hartoya Prasetyo","4 tahun lalu","Bagus si tp harus lbh d tingkatkan lagi","Positif"
"Nardi Yanto (Raditya)","3 tahun lalu","Lokasinya berada di pinggir jalan, gampang dicari. Free,ga ada HTM, cm bayar parkir aja. Enak buat sekedar berfoto dan santai²an sekeluarga. Lengkap ada warung lesehan, musholla dan parkiran.","Netral"
"A. I. R MUMTAZ","4 tahun lalu","Perlu pengelolaan yg lebih baik dari segi fasilitas penunjang lainnya agar pengunjung lebih tertarik karena setelah berkunjung satu kali kalau kondisinya itu itu aja pasti males untuk datang lagi","Netral"
"bang tito","setahun lalu","Tempat nya bagus dan instagramable banget, cuma kalau pas hujan airnya agak kotor....","Positif"
"abdus salam","4 tahun lalu","Tempatnya asyik, alami, akses masuk mudah karena hanya dipinggir jalan...tapi tlg hati-hati untuk yg membawa lansia krn naik turun tangga...kulinernya juga mantab...","Netral"
"Bella Rizqa Idha Ayu","4 tahun lalu","Air terjun toroan merupakan wisata yang wajib dikunjungi untuk para wisatawan, dikarenakan lokasinya yang tidak membahayakan seperti air terjun pada umumnya. Sayangnya air terjun toroan saat ini belum banyak di kenal masyarakat, padahal air terjun toroan sangat menarik. 😊 …","Netral"
"Hammada Syarif","5 tahun lalu","Satu-satunya Air Terjun di Kabupaten Sampang, dan Pulau Madura. ada tempat parkirnya, untuk bukanya dari pagi sampai sore, bisa mendirikan tenda. spot sunset dan ada juga yang menjual makanan disana.","Netral"
"cover ar","3 tahun lalu","Air terjun toroan adalah air terjun yg langsung bertemu dengan pantai seandainya penambangan pasir tidak dilakukan pantai toroan dan airterjun nya akan menjadi pariwisata paling bagus di pulau madura tapi sayang kita harus melihat air terjun dan pantai yg sudah habis pasirnya waktu saya sd saya akui pantai toroan paling bagus","Positif"
"Moh Afandi","7 tahun lalu","Bagus tempat nya tpi kurang perhtian..","Positif"
"Dear Busri","3 tahun lalu","wisata air terjun yang letaknya di samping jl. Ketapang-Sampang","Netral"
"Mohammad Zafradi Wagiono","4 tahun lalu","Banyak spot foto, tiket masuk hny bayar parkir saja mobil 10rb n motor 5rb ad musholla kecil dan toilet","Netral"
"Kang Dyne","2 tahun lalu","Bagus viewnya, sayang sedikit kebersihan air dan pantainya kurang terjaga.","Positif"
"Miki Djaya","4 tahun lalu","Akses ke sananya masih susah, syg sekali.. Jalannua jelek dan sempit.. Serta jangan malam2 karena gelap tidak ada lampu","Negatif"
"Joan Atma Gunawan","5 tahun lalu","Destinasi wisata nya bagus banged...tapi mohon hati hati y guys...di tempat ini pengunjung tidak di perbolehkan mandi...alasannya untuk menjaga alamnya tetap utuh dan bagus...selamat berkunjung.","Positif"
"Arga Fabian","5 tahun lalu","Saya kira bakal bagus gimana. jalan tak terawat. sarana foto pada venue hanya sebuah jembatan buatan kecil. dengan latar belakang ibu-ibu yang sedang mandi dan mencuci 😅🤣 …","Positif"
"Wisri Zanuar","setahun lalu","Lokasi mudah dijangkau dgn pemandangan yang sangat indah.","Positif"
"Aries","5 bulan lalu","tempat yang cocok untuk acara keluarga👍👍👍 …","Netral"
"abidizaky","5 tahun lalu","Sekarang untuk tempat parkir dan rute ke toroan sudah gampang","Netral"
"Ali Muqoddas","4 tahun lalu","air terjun tempat bermain disaat kecil dulu dulu pasirnya masih utuh sekarang di keruk tiap hari yang tersisa hanya batu karang","Netral"
"Dibyus Diby","4 tahun lalu","Masukkan dalam daftar kunjungan anda bila ke Madura. Sangat jarang ada air terjun langsung ke laut. bagus sekali di nikmati waktu sore hari sambil menikmati matahari tenggelam. Put it your visiting list when you in Madura. It's very rare …","Positif"
"Fuady Bahari","5 tahun lalu","Salah satuari terjun di madura, berada di pesisir pantai utara berjarak ±45 km dari pusat kota sampang. Menawarkan keindahan air terjun setinggi 3m yang langsung bermuara ke laut lepas sampai paparan laut utara yang mempesona sehingga waisatawan dapat menikmati sunrise pada pagi hari dan sunset pada sore hari","Positif"
"Umihany Hany","3 tahun lalu","Wisata alam yg bener"" bagus , terasa didlm gua yg terdapat air terjun yg lsg turun di dasar laut , sungguh pemandangan yg sangat bagus 👍👍👍 …","Positif"
"alief ara","4 bulan lalu","View yg bagus","Positif"
"R-E Project","4 bulan lalu","Indah sekali...rekomended","Positif"
"Kholid Ibrahim","3 tahun lalu","Destinasi wisata air terjun yg langsung ke laut, lokasi sangat menarik dan recomended banget bersama keluarga tercinta","Netral"
"sunarto narto","4 tahun lalu","Tempatnya asyik ditepilaut","Netral"
"Pipit Chiko97","4 tahun lalu","Walopun prjlnn yg sgt jauh gak masalah tmpat ini perlu dikunjungi.. Sangat mempesona..air terjun Toroan ini langsung menuju ke laut... Pokoknya karunia Allah sangat luat biasa sempurna..","Netral"
"Moch Amin Tian","3 tahun lalu","Bagus dan bersih","Positif"
"Irfan Afandi","5 tahun lalu","Tempat terbaik buat sunrise sunset","Netral"
"Farida kristina dwi Andatu","3 tahun lalu","Tempat wisata yg bagus dan masih alami perlu sedikit lagi sentuhan agar lebih menarik wisatawan","Positif"
"basuki mohamad","setahun lalu","Tempat nya bagus ... Air terjun yang langsung kelaut.","Positif"
"Danita Gan","3 tahun lalu","Lumayan habis ke bebek sinjai, jalan2 di sini","Netral"
"pintu ajaib","4 tahun lalu","Lokasinya berada di tepi laut. Merupakan air sungai yang turun langsung ke laut. Saat terbaik melihat air terjun ini adalah sore hari.","Netral"
"febriyans -","3 tahun lalu","Tempatnya lumayan bagus, cocok banget untuk foto long exposure, rekomendasi waktu terbaik yaitu sore","Positif"
"Ismi Sari","5 tahun lalu","Tempatnya dikelola dengan baik... Semoga seterusnya begitu...","Netral"
"TaeKwonDo Kidz","5 tahun lalu","Ga keren.. masih butuh dibersihkan area utk nonton air terjunnya.. baik airnya maupun tumbuhan sekitarnya","Positif"
"Yusuf Agung Nugroho","7 tahun lalu","Okelah. Tapi fasilitas masih kurang.
Cocok buat foto2, hati2 jika hujan jalan/batu jadi licin. Nice for sunset view","Netral"
"dedy bendot","5 tahun lalu","Air terjun kebanggaan masyarakat sampang pada umumnya, dan masyarakat Ketapang pada khususnya. Lokasi sudah mulai banyak perkembangan, sudah terkelola dengan baik.","Netral"
"Moh syafiruddin","7 tahun lalu","Air terjun ini merupakan air terjun yang unik, karena pada umumnya air terjun jatuhnya ke sungai, tapi air terjun toroan airnya jatuhnya ke bibir laut atau pantai. Kondisinya pun masih terlihat sangat alami","Netral"
"Rio Pratama","3 bulan lalu","Bagus & lumayan bersih","Positif"
"Nurul Mustofa","setahun lalu","Tempat foto""nya kurang dan kotor lagi banyak sampah""nya dan sampahnya di bakar, di dekat jalan evaluasi...","Negatif"
"Akhmad Firmansyah","5 tahun lalu","Amazing banget air terjun bertemu langsung dengan laut lepas, dan airnya yang jernih memanjakan mata setiap wisatawan yang hadir","Netral"
"Pangky Aja","5 tahun lalu","Akses mudah
Tempat sangat mengesankan
Tapi sayang,karena dipesisir cuaca agak panas …","Netral"
"MOH. ERFANDI_0096","setahun lalu","Kontrakan terkuat di bumi","Netral"
"Anastasia Aozora","5 tahun lalu","Ketempai ini pas banjiiir..  Sediiiih... Padahal bagus.. Jadinya ngeri..
Saran aja..  Kesini pas sore hari dan pas nggak musim hujan ya..
Jadi bisa lihat sunset,  air terjun dan pantai sekaligus","Positif"
"SSC Reborn Studio","5 tahun lalu","lokasi dan spot alam yg menarik. tp sayang terlihat kumuh dan kotor. seharusnya jd tugas pemerintah setempat untuk mengelola dgn baik.","Negatif"
"Bintang Sakti Bang Ali","7 tahun lalu","Untuk background/ foto selfi kerren..., cuma belum diperhatikan sama pemerintah kabupaten. Saya harap ke depan di perhatikan biar gak kotor seperti sekarang banyak sampah.","Negatif"
"Echa Ayesha","2 tahun lalu","Harusnya bisa lebih bagus & menarik sayangnya banyak sampah di pantai & air terjunnya","Positif"
"Ahmad Mahrus","3 tahun lalu","Ada kenangan yang tersimpan disana","Netral"
"wardah lovers","4 tahun lalu","Sangat cocok untuk refreshing,
Menghilangkan fikiran tidak tenang akibat dari sibuk bekerja..
Inilah solusi yg pas untuk anda.. …","Netral"
"Wiwin RA","setahun lalu","Sangat Indah❤️","Positif"
"udin bifadhlilah","5 tahun lalu","Bagus, cuma airnya kurang jernih karena hujan deras sebelumnya, semoga sampah dipantainya bisa dibersihkan...","Positif"
"Achmad Farajallah","4 tahun lalu","Pemandangan indah. Tetapi, sulit parkir dan dukungan rekreasi yg lainnya. Di pantai kiri-kanannya terlihat ada penambangan pasir laut","Positif"
"Adam Taufan","5 tahun lalu","Tempatnya masih alami. Sip banget tempat parkirnya nyaman sayang tempat jualan makanan cuman sedikit. Kalau bisa bawa perbekalan dulu sebelum menuju kesini","Netral"
"Hamidi Amir","6 bulan lalu","Pengalam jadi orang bodoh itu tidak wajib","Netral"
"Ha Sarwoedi","3 tahun lalu","Tempat yg amat sangat indah dan nyaman ....saudaraku hayo berkunjung tempat ini biaya masuk dan parkir murah meriah","Positif"
"Tri Bagus Wahyudi","3 tahun lalu","Air terjun yg menghadap langsung ke Laut....view sunset nya indah sekali
Cek ig kita @tbagusw","Positif"
"ach choirul","5 tahun lalu","Tempat asyik untuk bersantai bersama keluarga sambil menikmati indahnya deburan ombak dan gemericik air terjun","Positif"
"Sopiyah Yasin","3 bulan lalu","Ciptaan TUHAN..Sangat bagus","Positif"
"Wida Yanti","3 tahun lalu","Airterjun di tepi laut...suatu yang jarang ditemui. Tempat yang mudah dijangkau, karena tidak jauh dari jalan utama. …","Netral"
"Luluk Latifah","4 tahun lalu","Lumayan,tpi tidak bisa di buat untuk berenang","Netral"
"Nasrullah","setahun lalu","Tempat wisata yang bagus, bersih dan masih terkoordiner dengan baik","Positif"
"Lutfi Adjha","4 tahun lalu","Wisata murah dg pemandangan yang indah","Positif"
"biker insyaf","3 tahun lalu","Lumayan bagus air terjunnya.mau musim hujan atau kemarau airnya ttp ada","Positif"
"Setio Budi","7 tahun lalu","Tempat yang menarik!
Anda akan disuguhi tiga pemandangan sekaligus yakni, air terjun, pantai, dan aktivitas masyarakatnya.","Netral"
"Imtiyaz Nurul Q","4 tahun lalu","It's okay. Banyak spot2 foto diatas, di bagian bawah air terjun spot foto terbatas.","Netral"
"Rista Dinda","3 tahun lalu","Ini air terjun paling bagus, keren banget.. Cocok banget buat ngilangin penat","Positif"
"Faris 25","3 tahun lalu","Suasana alamnya sangat indah karena merupakan perpaduan antara air terjun dengan laut","Positif"
"Maulida N H","4 tahun lalu","Inget ya, air terjunnya itu yang langsung jatuh ke pantai
Bukan yang buatan wkwk …","Netral"
"Danita Rolag","3 tahun lalu","Tempat rekreasi di madura dekat pinggir laut tapi ada air terjunya, masih natural, bagus untuk keluarga","Positif"
"Edwin Ardiansah","5 tahun lalu","Tempat bagus buat foto2","Positif"
"Echsan Kasan","2 tahun lalu","Ngopi,nyantai cocok kl kesini","Netral"
"Dismas Ismanto","2 tahun lalu","Sdh beberapa kali kesini.. Ndak pernah  bosan... Must visit place... Beautiful viewing","Netral"
"Bambang Hari Prayitno","2 tahun lalu","Air terjun yang langsung jatuh ke laut, tidak boleh berenang disekelilingnya","Netral"
"John Sakera","3 tahun lalu","Tetep suka banget dengan tempat ini","Netral"
"Rizqi Puji","3 tahun lalu","air terjunnya kecil warna hijau, kalau sunsetnya top banget si","Netral"
"Yoena","setahun lalu","Pantai yang ada air terjunnya...bagus banget pokoknya 👍👍👍 …","Positif"
"Lingga Kurniawan","2 tahun lalu","tambah baguus...
sudah dikelola masyarakat sekitar.
semoga makin ramai","Netral"
"BecKitchen TV","4 tahun lalu","Air terjun bagus dan yg perlu di perhatikan kurang luas buat rekreasi","Positif"
"sholikin kuwock","4 tahun lalu","Bagus air terjunnya, pemandangan lautnya.
Tapi sayang pengelolaan kurang.","Positif"
"Miqdad Arrijally","2 tahun lalu","Wisata air terjun tepi pantai yang sejuk, mau siangpun suasana tetap sejuk..","Netral"
"rumah golfcar","3 bulan lalu","Sumpah ini pengalaman terbaik","Netral"
"Jumiya Oke","5 tahun lalu","Ya perlu dimaksimalkan pengelolaannya karena tempat ini sangat bagus sbg anugerah Allah perlu disyukuri","Positif"
"Muhyi S","2 tahun lalu","Panoramanya bagus,  perlu kreativitas utk penambahan area di pantai dan penambahan fasilitas","Positif"
"Heyri Subastian","4 tahun lalu","Tempatnya cuma buat foto dan santai max paling 20org buat spot, sayangnya ga bisa buat berenang","Netral"
"CRM Indonesia","3 bulan lalu","keren, dan bafus banget","Positif"
"Antic 12","5 tahun lalu","Bagus.. Asyik ..banyak bebatuan yg bisa buat duduk2 sambil  main air & buat foto2an","Positif"
"Hedin Hendratarto","4 tahun lalu","Parkir kurang, menuju lokasi air terjun jalannya sangat sempit sehingga berjubel....","Netral"
"Hanan Nuklir Surabaya","2 tahun lalu","Cukup satu kata,.Mantapp...👍👍👍 …","Netral"
"ahzai TV","3 tahun lalu","Tempat berlibur yg menyenangkan untuk pasangan dan keluarga dan meikmati air terjun.... yg indah","Positif"
"arif wahyuono","2 tahun lalu","Bagus banget buat spot foto instagram. Obyeknya bagus & unik","Positif"
"welly martinus","4 tahun lalu","Indah, asri, pemandangan laut yang menyegarkan, air terjun langsung menuju ke laut, luar biasa indah","Positif"
"Fortunata Riana","5 tahun lalu","Disarankan lebih bagus pas musim kemarau. Airnya jernih, kalau musim penghujan airnya keruh","Positif"
"Tuan Kuda","5 tahun lalu","Sebaiknya wisata alam biarlah tetap alami, tanpa perlu dibangun ini itu. Bangunan malah bikin rusak","Netral"
"Oonkz Froeza","4 tahun lalu","Air terjun yang indah yang berada di tepi laut sangat bagus untuk yang suka foto-foto","Positif"
"Alfarizy Ajha","5 tahun lalu","Air terjun-nya bagus dan enak buat selfi, Pantai-nya juga sangat bagus suasananya juga mendukung.","Positif"
"Hari yadi","3 tahun lalu","Air Terjun Toroan  di Desa Ketapang, Kecamatan Ketapang, Kabupaten Sampang dekat Jl. Raya dan pantai utara Sampang. Parkir motor dan mobil luas","Netral"
"Karanganyar Bangkit","2 bulan lalu","Desa Karang Anyar  Bangkit","Netral"
"Damairi Usman","4 tahun lalu","Mungkin ini air terjun satu2nya di madura. Asik juga sih pemandangannya karna air terjunnya di tepi pantai... 👍👍👍👍 …","Netral"
"Capten Fatah","4 tahun lalu","Asik untuk berlibur,tapi kurang satu gabisa renang di bawah air nya..","Netral"
